"data__id","data__first_name","data__height_feet","data__height_inches","data__last_name","data__position","data__team__id","data__team__abbreviation","data__team__city","data__team__conference","data__team__division","data__team__full_name","data__team__name","data__weight_pounds","meta__total_pages","meta__current_page","meta__next_page","meta__per_page","meta__total_count"
"14","Ike","null","null","Anigbogu","C","12","IND","Indiana","East","Central","Indiana Pacers","Pacers","null","131","1","2","25","3268"
"25","Ron","null","null","Baker","G","20","NYK","New York","East","Atlantic","New York Knicks","Knicks","null","","","","",""
"47","Jabari","null","null","Bird","G","2","BOS","Boston","East","Atlantic","Boston Celtics","Celtics","null","","","","",""
"67","MarShon","null","null","Brooks","G","15","MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies","null","","","","",""
"71","Lorenzo","null","null","Brown","G","28","TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors","null","","","","",""
"90","Omri","null","null","Casspi","F","15","MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies","null","","","","",""
"1","Alex","6","6","Abrines","G","21","OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder","200","","","","",""
"119","Tyler","null","null","Davis","C","21","OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder","null","","","","",""
"149","Keenan","null","null","Evans","G","9","DET","Detroit","East","Central","Detroit Pistons","Pistons","null","","","","",""
"179","Marcin","null","null","Gortat","C","13","LAC","LA","West","Pacific","LA Clippers","Clippers","null","","","","",""
"1593","Andrew","null","null","Bogut","F","10","GSW","Golden State","West","Pacific","Golden State Warriors","Warriors","null","","","","",""
"241","Amir","6","9","Johnson","C-F","23","PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers","240","","","","",""
"256","George","6","6","King","F","24","PHX","Phoenix","West","Pacific","Phoenix Suns","Suns","220","","","","",""
"281","Zach","null","null","Lofton","G","9","DET","Detroit","East","Central","Detroit Pistons","Pistons","null","","","","",""
"263","Kosta","7","0","Koufos","C","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","245","","","","",""
"348","James","null","null","Nunnally","F","18","MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves","null","","","","",""
"382","Billy","null","null","Preston","F","6","CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers","null","","","","",""
"384","Zhou","null","null","Qi","F-C","11","HOU","Houston","West","Southwest","Houston Rockets","Rockets","null","","","","",""
"388","Zach","null","null","Randolph","F","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","null","","","","",""
"392","Malachi","null","null","Richardson","G","28","TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors","null","","","","",""
"430","DJ","null","null","Stephens","G-F","15","MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies","null","","","","",""
"437","Milos","null","null","Teodosic","G","13","LAC","LA","West","Pacific","LA Clippers","Clippers","null","","","","",""
"448","Gary","null","null","Trent Jr.","G","25","POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers","null","","","","",""
"494","Michael","null","null","Smith","","2","BOS","Boston","East","Atlantic","Boston Celtics","Celtics","null","","","","",""
"495","John","null","null","Morton","","6","CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers","null","","","","",""
